Date,Product,Region,Sales,Quantity
2024-01-01,Widget A,North,1500,50
2024-01-02,Widget B,South,2300,75
2024-01-03,Widget A,East,1800,60
2024-01-04,Widget C,West,2100,70
2024-01-05,Widget B,North,1900,65
2024-01-06,Widget A,South,2200,80
2024-01-07,Widget C,East,1700,55
2024-01-08,Widget B,West,2400,85
2024-01-09,Widget A,North,1600,52
2024-01-10,Widget C,South,2000,68
2024-01-11,Widget B,East,2100,72
2024-01-12,Widget A,West,1850,62
2024-01-13,Widget C,North,2250,78
2024-01-14,Widget B,South,1950,66
2024-01-15,Widget A,East,2050,70
