id,name,value,timestamp,category,description,metadata,status,priority,notes
1,Item1,100,2024-01-01,A,Description for item 1,{"key":"value"},active,high,Some notes here
2,Item2,200,2024-01-02,B,Description for item 2,{"key":"value"},active,medium,More notes
3,Item3,300,2024-01-03,C,Description for item 3,{"key":"value"},inactive,low,Additional notes
4,Item4,400,2024-01-04,A,Description for item 4,{"key":"value"},active,high,Extra information
5,Item5,500,2024-01-05,B,Description for item 5,{"key":"value"},active,medium,Further details
6,Item6,600,2024-01-06,C,Description for item 6,{"key":"value"},inactive,low,Supplementary data
7,Item7,700,2024-01-07,A,Description for item 7,{"key":"value"},active,high,More content here
8,Item8,800,2024-01-08,B,Description for item 8,{"key":"value"},active,medium,Additional content
9,Item9,900,2024-01-09,C,Description for item 9,{"key":"value"},inactive,low,Extra notes
10,Item10,1000,2024-01-10,A,Description for item 10,{"key":"value"},active,high,Final notes
